OS,N,Tasks,Device,Kernel,Avg_Service_Time_ms,Avg_In_Node_Time_ms,Avg_Compute_Time_ms,Avg_Overhead_Time_ms,Throughput_tasks_s,Total_Time_s
MacOS,10000,100,cpu_ff,vecAdd,,,,,6916.39,0.0144584
MacOS,10000,100,cpu_ff,polynomial_op,,,,,5397.73,0.0185263
MacOS,10000,100,cpu_ff,heavy_compute_kernel,,,,,1622.36,0.0616386
MacOS,10000,100,gpu_opencl,vecAdd,0.244162,14.3377,0.25371,14.084,945.656,0.105747
MacOS,10000,100,gpu_opencl,polynomial_op,0.246276,14.5841,0.251602,14.3325,1118.68,0.0893909
MacOS,10000,100,gpu_opencl,heavy_compute_kernel,0.269789,15.8,0.275674,15.5243,1062.56,0.0941121
MacOS,10000,100,gpu_metal,vecAdd,0.16176,9.46164,0.147503,9.31414,1395.28,0.07167
MacOS,10000,100,gpu_metal,polynomial_op,0.170637,9.93208,0.15693,9.77515,1492.84,0.0669863
MacOS,10000,100,gpu_metal,heavy_compute_kernel,0.179716,11.3659,0.168043,11.1978,1478.65,0.0676292
MacOS,1000000,100,cpu_ff,vecAdd,,,,,197.098,0.507362
MacOS,1000000,100,cpu_ff,polynomial_op,,,,,117.432,0.85156
MacOS,1000000,100,cpu_ff,heavy_compute_kernel,,,,,18.3628,5.44579
MacOS,1000000,100,gpu_opencl,vecAdd,0.849984,47.839,0.874352,46.9647,666.637,0.150007
MacOS,1000000,100,gpu_opencl,polynomial_op,0.852351,46.7256,0.864782,45.8608,682.89,0.146436
MacOS,1000000,100,gpu_opencl,heavy_compute_kernel,1.49466,80.3256,1.51899,78.8066,468.715,0.213349
MacOS,1000000,100,gpu_metal,vecAdd,0.584575,47.7941,0.473303,47.3208,832.378,0.120138
MacOS,1000000,100,gpu_metal,polynomial_op,0.406119,30.1674,0.256276,29.9111,1057.88,0.0945286
MacOS,1000000,100,gpu_metal,heavy_compute_kernel,0.893808,80.2544,0.754454,79.4999,658.738,0.151805
MacOS,7449999,100,cpu_ff,vecAdd,,,,,26.8015,3.73114
MacOS,7449999,100,cpu_ff,polynomial_op,,,,,16.4719,6.07096
